Query,Rows,Columns,Execution Time (s)
SELECT * FROM data WHERE timestamp BETWEEN '2024-02-01' AND '2024-02-28';,1520503,7,35.17886996269226
"SELECT id_device, COUNT(*) FROM data WHERE timestamp > '2024-02-01' GROUP BY id_device;",8,2,1.260514497756958
"SELECT id_sensor, AVG(value) FROM data WHERE timestamp BETWEEN '2024-02-01' AND '2024-03-01' GROUP BY id_sensor;",3,2,2.9912142753601074
"SELECT id_variable, MAX(value) FROM data WHERE timestamp BETWEEN '2024-02-01' AND '2024-02-15' GROUP BY id_variable;",15,2,3.068183660507202
"SELECT id_location, MIN(value) FROM data WHERE timestamp > '2024-02-01' GROUP BY id_location;",5,2,0.990929126739502
"SELECT id_device, id_sensor, SUM(value) FROM data WHERE id_device IN ('DBEM002', 'DBEM007') AND timestamp > '2024-02-01' GROUP BY id_device, id_sensor;",4,3,3.0569376945495605
"SELECT id_device, COUNT(DISTINCT id_sensor) FROM data WHERE timestamp BETWEEN '2024-02-01' AND '2024-02-28' GROUP BY id_device;",8,2,2.123079299926758
SELECT * FROM data WHERE value BETWEEN 10 AND 20 AND timestamp BETWEEN '2024-02-10' AND '2024-02-20';,0,0,0.8328857421875
"SELECT id_device, id_sensor, id_variable, AVG(value) AS avg_value FROM data WHERE id_device = 'DBEM009' AND timestamp > '2024-02-01' GROUP BY id_device, id_sensor, id_variable ORDER BY avg_value DESC LIMIT 10;",9,4,0.27787351608276367
"SELECT id_sensor, id_variable, COUNT(*) FROM data WHERE id_sensor LIKE 's%' AND timestamp BETWEEN '2024-02-01' AND '2024-02-15' GROUP BY id_sensor, id_variable HAVING COUNT(*) > 5;SELECT * FROM data WHERE id_device = 'DBEM010' AND timestamp BETWEEN '2024-02-01' AND '2024-03-01';",0,0,0.0
SELECT * FROM data WHERE id_sensor = 'sSMON' AND timestamp BETWEEN '2024-02-10' AND '2024-02-20';,0,0,0.009512901306152344
SELECT AVG(value) FROM data WHERE id_variable = '00-temp-sSMON' AND timestamp > '2024-02-01';,1,1,0.012994766235351562
"SELECT id_device, SUM(value) FROM data WHERE id_device IN ('DBEM009', 'DBEM010') AND id_sensor = 'sWEA' GROUP BY id_device;",2,2,0.27908754348754883
SELECT * FROM data WHERE id_location = 1 AND timestamp BETWEEN '2024-02-15' AND '2024-02-28';,0,0,0.8222761154174805
"SELECT id_sensor, COUNT(*) FROM data WHERE id_sensor IN ('sACC', 'sAQU') AND timestamp > '2024-02-01' GROUP BY id_sensor;",1,2,0.5992271900177002
"SELECT id_variable, MAX(value) FROM data WHERE id_variable LIKE '01-%' AND timestamp BETWEEN '2024-02-01' AND '2024-02-28' GROUP BY id_variable;",3,2,2.558122396469116
"SELECT id_device, id_sensor, AVG(value) AS average_value FROM data WHERE id_device = 'DBEM011' AND id_sensor = 'sENV' AND timestamp > '2024-02-01' GROUP BY id_device, id_sensor;",1,3,0.041039466857910156
SELECT * FROM data WHERE id_device = 'DBEM014' AND id_sensor = 'sWEA' AND id_variable = '02-pres-sWEA' AND timestamp BETWEEN '2024-02-01' AND '2024-02-28';,0,0,0.005987882614135742
"SELECT id_device, COUNT(*) AS total_records FROM data WHERE id_device IN ('DBEM012', 'DBEM013', 'DBEM014') AND timestamp > '2024-02-01' GROUP BY id_device HAVING total_records > 10;",3,2,0.23146724700927734
